case topic,Case Number,Case Open Date,Opened Date_Day of Week
Users Management,1,2023-04-27T11:30:52,Thursday
Launching Application,1,2023-04-27T11:31:06,Thursday
Scheduled Report,1,2023-04-27T11:33:35,Thursday
IVR,1,2023-04-27T11:33:48,Thursday
Softphone,1,2023-04-27T11:37:13,Thursday
Inquiry/How To,1,2023-04-27T11:37:19,Thursday
Calls Failing,1,2023-04-27T11:37:38,Thursday
Outbound Campaign Manager,1,2023-04-27T11:39:56,Thursday
ANI,1,2023-04-27T11:40:09,Thursday
Launching Application,1,2023-04-27T11:45:48,Thursday
Connection Issue,1,2023-04-27T11:46:25,Thursday
IVR,1,2023-04-27T11:46:28,Thursday
User Management,1,2023-04-27T11:47:52,Thursday
Recordings,1,2023-04-27T11:49:22,Thursday
Launching Application,1,2023-04-27T11:50:54,Thursday
Inbound SMS,1,2023-04-27T11:51:33,Thursday
Error Message,1,2023-04-27T11:53:46,Thursday
Connection Issue,1,2023-04-27T11:56:56,Thursday
Users Management,1,2023-04-27T11:57:02,Thursday
Calls Failing,1,2023-04-27T11:58:10,Thursday
IVR,1,2023-04-27T11:58:28,Thursday
IVR,1,2023-04-27T12:02:29,Thursday
Dialing Behavior,1,2023-04-27T12:06:26,Thursday
Contacts,1,2023-04-27T12:07:16,Thursday
Recordings,1,2023-04-27T12:07:26,Thursday
Audio Issues on Echo,1,2023-04-27T12:11:02,Thursday
Call Features,1,2023-04-27T12:12:48,Thursday
Users Management,1,2023-04-27T12:13:09,Thursday
Inquiry/How To,1,2023-04-27T12:18:58,Thursday
Standard Report,1,2023-04-27T12:21:57,Thursday
Softphone,1,2023-04-27T12:24:09,Thursday
DNIS,1,2023-04-27T12:28:14,Thursday
MACD,1,2023-04-27T12:31:18,Thursday
Calls Failing,1,2023-04-27T12:32:07,Thursday
Users Management,1,2023-04-27T12:33:03,Thursday
Unable to Login,1,2023-04-27T12:33:34,Thursday
Unable to Login,1,2023-04-27T12:34:25,Thursday
Users,1,2023-04-27T12:41:05,Thursday
Distribution Issue,1,2023-04-27T12:41:17,Thursday
Lists,1,2023-04-27T12:41:43,Thursday
Agent State,1,2023-04-27T12:41:57,Thursday
Agent State,1,2023-04-27T12:42:39,Thursday
Dashboard,1,2023-04-27T12:44:03,Thursday
Dispositions,1,2023-04-27T12:44:47,Thursday
Call Features,1,2023-04-27T12:45:35,Thursday
DNIS,1,2023-04-27T12:45:44,Thursday
Users,1,2023-04-27T12:46:47,Thursday
Users Management,1,2023-04-27T12:48:03,Thursday
Call Features,1,2023-04-27T12:49:09,Thursday
Custom Report,1,2023-04-27T12:50:34,Thursday
Recordings,1,2023-04-27T12:51:13,Thursday
Unable to Login,1,2023-04-27T12:51:29,Thursday
Distribution,1,2023-04-27T12:55:23,Thursday
Reporting,1,2023-04-27T12:56:10,Thursday
Calls Failing,1,2023-04-27T12:57:59,Thursday
FTP,1,2023-04-27T12:59:24,Thursday
Launching Application,1,2023-04-27T13:00:53,Thursday
Activity Logging,1,2023-04-27T13:00:53,Thursday
Calls Failing,1,2023-04-27T13:00:56,Thursday
Softphone,1,2023-04-27T13:00:58,Thursday
Users Management,1,2023-04-27T13:01:06,Thursday
Skills,1,2023-04-27T13:01:46,Thursday
Audio Issues,1,2023-04-27T13:02:13,Thursday
Unable to Login,1,2023-04-27T13:03:34,Thursday
Connectors,1,2023-04-27T13:07:44,Thursday
Dialing Behavior,1,2023-04-27T13:08:15,Thursday
MACD,1,2023-04-27T13:09:09,Thursday
Audio Issues on Echo,1,2023-04-27T13:09:47,Thursday
Call Center Management,1,2023-04-27T13:11:43,Thursday
Connection Issue,1,2023-04-27T13:11:57,Thursday
Error Message,1,2023-04-27T13:12:13,Thursday
Error Message,1,2023-04-27T13:12:35,Thursday
Call Features,1,2023-04-27T13:13:09,Thursday
Unable to Login,1,2023-04-27T13:14:16,Thursday
Connection Issue,1,2023-04-27T13:16:56,Thursday
User Management,1,2023-04-27T13:19:48,Thursday
IVR,1,2023-04-27T13:20:21,Thursday
Launching Application,1,2023-04-27T13:21:46,Thursday
Unable to Login,1,2023-04-27T13:21:47,Thursday
ANI,1,2023-04-27T13:22:32,Thursday
Calls Failing,1,2023-04-27T13:29:11,Thursday
Users Management,1,2023-04-27T13:29:21,Thursday
PSTN,1,2023-04-27T13:32:16,Thursday
Unable to Login,1,2023-04-27T13:32:42,Thursday
Users Management,1,2023-04-27T13:37:09,Thursday
Launching Application,1,2023-04-27T13:39:31,Thursday
Dialing Behavior,1,2023-04-27T13:40:34,Thursday
Call Recording,1,2023-04-27T13:41:16,Thursday
Agent State,1,2023-04-27T13:43:02,Thursday
Call Features,1,2023-04-27T13:44:09,Thursday
Users,1,2023-04-27T13:44:57,Thursday
Forecasting & Scheduling,1,2023-04-27T13:45:41,Thursday
Audio Issues on Echo,1,2023-04-27T13:48:09,Thursday
Unable to Login,1,2023-04-27T13:50:07,Thursday
Launching Application,1,2023-04-27T13:50:43,Thursday
Error Message,1,2023-04-27T13:51:03,Thursday
Users,1,2023-04-27T13:51:34,Thursday
Lists,1,2023-04-27T13:53:30,Thursday
Launching Application,1,2023-04-27T13:56:09,Thursday
Display/ Content,1,2023-04-27T13:57:49,Thursday
Work Administration,1,2023-04-27T13:58:07,Thursday
IVR,1,2023-04-27T14:00:05,Thursday
ANI,1,2023-04-27T14:03:02,Thursday
Calls Failing,1,2023-04-27T14:05:13,Thursday
Audio Issues on Echo,1,2023-04-27T14:07:35,Thursday
Standard Report,1,2023-04-27T14:08:56,Thursday
Unable to Login,1,2023-04-27T14:09:28,Thursday
Station Type,1,2023-04-27T14:09:58,Thursday
Contacts,1,2023-04-27T14:13:58,Thursday
Users Management,1,2023-04-27T14:15:24,Thursday
IVR,1,2023-04-27T14:15:53,Thursday
Users,1,2023-04-27T14:18:58,Thursday
IVR,1,2023-04-27T14:19:27,Thursday
List Sync Plus,1,2023-04-27T14:21:13,Thursday
Users Management,1,2023-04-27T14:22:33,Thursday
Audio Issues,1,2023-04-27T14:26:45,Thursday
Settings,1,2023-04-27T14:29:18,Thursday
Unable to Login,1,2023-04-27T14:29:42,Thursday
Campaign Profiles,1,2023-04-27T14:34:06,Thursday
Lists,1,2023-04-27T14:35:14,Thursday
Calls Failing,1,2023-04-27T14:37:13,Thursday
Users Management,1,2023-04-27T14:44:30,Thursday
